City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,279.21,70,0,9.26,CL,1681952255
1,santa cruz,-17.8,-63.1667,292.85,94,75,2.06,BO,1681952036
2,bambous virieux,-20.3428,57.7575,299.29,83,75,5.14,MU,1681952255
3,san rafael,-34.6177,-68.3301,291.03,37,58,3.28,AR,1681952255
4,springfield,37.2153,-93.2982,296.61,64,100,8.23,US,1681952255
5,cape town,-33.9258,18.4232,289.33,86,75,8.23,ZA,1681952090
6,shingu,33.7333,135.9833,294.27,71,100,2.3,JP,1681952255
7,albany,42.6001,-73.9662,276.83,72,100,4.0,US,1681952255
8,ribeira grande,38.5167,-28.7,285.8,68,97,2.24,PT,1681952255
9,carutapera,-1.195,-46.02,297.65,93,99,1.7,BR,1681952255
10,qaanaaq,77.484,-69.3632,256.32,79,95,3.83,GL,1681952255
11,polunochnoye,60.8697,60.4153,268.14,90,23,1.49,RU,1681952256
12,saint-philippe,-21.3585,55.7679,297.92,84,34,5.36,RE,1681952256
13,nikolskoye,59.7035,30.7861,275.09,98,100,1.64,RU,1681952256
14,hermanus,-34.4187,19.2345,290.26,63,100,5.54,ZA,1681952256
15,mataura,-46.1927,168.8643,289.71,60,75,1.07,NZ,1681952256
16,sao francisco do sul,-26.2433,-48.6381,291.1,82,0,1.03,BR,1681952256
17,kharhial,20.2833,82.7667,303.05,27,5,2.03,IN,1681952256
18,takoradi,4.8845,-1.7554,298.57,86,100,2.46,GH,1681952256
19,kodiak,57.79,-152.4072,279.88,57,100,4.12,US,1681952257
20,plouzane,48.3833,-4.6167,283.25,93,25,4.12,FR,1681952257
21,asfi,32.2994,-9.2372,289.34,88,0,2.55,MA,1681952257
22,yellowknife,62.456,-114.3525,279.44,42,20,3.6,CA,1681952257
23,port alfred,-33.5906,26.891,298.19,46,100,3.49,ZA,1681952054
24,ribeira brava,32.65,-17.0667,291.49,75,90,1.93,PT,1681952257
25,sao filipe,14.8961,-24.4956,296.34,76,100,3.49,CV,1681952257
26,inuvik,68.3499,-133.7218,265.63,70,100,2.57,CA,1681952257
27,atuona,-9.8,-139.0333,300.22,76,45,4.21,PF,1681952257
28,kavaratti,10.5669,72.642,301.88,69,100,2.91,IN,1681952257
29,lebu,-37.6167,-73.65,285.57,95,100,5.9,CL,1681952257
30,port hedland,-20.3167,118.5667,299.18,34,82,10.8,AU,1681952258
31,spirovo,57.419,34.9766,277.1,80,12,1.93,RU,1681952258
32,kangavar,34.5043,47.9653,284.92,48,3,1.4,IR,1681952258
33,esil,51.9556,66.4042,273.15,83,18,3.38,KZ,1681952258
34,puerto ayora,-0.7393,-90.3518,296.79,100,100,3.09,EC,1681952258
35,arraial do cabo,-22.9661,-42.0278,297.11,84,100,4.43,BR,1681952258
36,brasilia,-15.7797,-47.9297,293.66,73,75,2.57,BR,1681952169
